Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"gestellt wird","gestellt wird","COLLOCATION",0,693,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"verwarf das","verwarf das","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"wurde durch","wurde durch","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Regierender Bürgermeister","regierender bürgermeister","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Verpflichtung","verpflichtung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"so vorgezogene","so vorgezogene","COLLOCATION",0,781,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit Urteil","mit urteil","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Vorschrift","vorschrift","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Unterbringung","unterbringung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Aussprache","aussprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzlers Das Amt","bundeskanzlers das amt","NAMED_ENTITY",0,850,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Unterbrechungen","unterbrechungen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Herrenhauses","herrenhauses","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Auflage","auflage","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"aus der","aus der","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach insgesamt","nach insgesamt","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein Streit","ein streit","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"exakt mit","exakt mit","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"dies bis","dies bis","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"( CDU","( cdu","COLLOCATION",0,551,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Brentanos","brentanos","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Kernkraftwerke","kernkraftwerke","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundestag als","bundestag als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"auf die","auf die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzler Schröder","bundeskanzler schröder","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"aber auch","aber auch","COLLOCATION",0,516,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"konstruktives Misstrauensvotum","konstruktives misstrauensvotum","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"in Hamburg","in hamburg","COLLOCATION",0,572,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Misstrauensvotum","misstrauensvotum","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Text der","text der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit prominenten","mit prominenten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ministerpräsident laut","ministerpräsident laut","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"bei eines","bei eines","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"den Zivildienst abgeleistet","den zivildienst abgeleistet","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Berlin- Brandenburg","berlin- brandenburg","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"längstens für","längstens für","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundestagswahl 2002","bundestagswahl 2002","COLLOCATION",0,886,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach und","nach und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Prädikat","prädikat","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Baerbock","baerbock","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Auslöser","auslöser","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"kein Kandidat","kein kandidat","COLLOCATION",0,874,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"im Kabinett","im kabinett","COLLOCATION",0,544,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"87 Jahren","87 jahren","COLLOCATION",0,932,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Reichspräsident","reichspräsident","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"vom 22","vom 22","COLLOCATION",0,670,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"dem Jahr","dem jahr","COLLOCATION",0,589,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Parlament","parlament","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"aus Union","aus union","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Juni 2024","juni 2024","COLLOCATION",0,815,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Beschlüsse wie","beschlüss wie","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"und einem","und einem","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Geschäfte","geschäfte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"neu gewählten","neu gewählten","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nicht an","nicht an","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Alfons Kaiser","alfons kaiser","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"( PDF","( pdf","COLLOCATION",0,659,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bündnis 90/Die","bündnis 90/die","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesministergesetz","bundesministergesetz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Regierungshandeln","regierungshandeln","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"seiner Kanzlerschaft","seiner kanzlerschaft","COLLOCATION",0,685,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach aufwerfe","nach aufwerfe","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"gleichzeitig aber","gleichzeitig aber","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"relative Mehrheit","relativ mehrheit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Hindenburgs","hindenburgs","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"eines neuen","eines neuen","COLLOCATION",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"anders als","anders als","COLLOCATION",0,736,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wechsel","wechsel","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"April 2025","april 2025","COLLOCATION",0,867,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"April 2023","april 2023","COLLOCATION",0,903,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Machtfülle","machtfülle","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Grundgesetz für","grundgesetz für","COLLOCATION",0,590,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"60 Jahren","60 jahren","COLLOCATION",0,874,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Diese Phase","dies phase","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach Artikel","nach artikel","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesnachrichtendienstes","bundesnachrichtendienstes","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"vor Entlassung","vor entlassung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bund (","bund (","COLLOCATION",0,659,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach Gesetzes","nach gesetzes","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"des Bundesministergesetzes","des bundesministergesetzes","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"den Regierungsbunker","den regierungsbunker","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Privileg","privileg","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wesentlichen dem","wesentlich dem","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Verfassungsordnung","verfassungsordnung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"des Bundesministeriums","des bundesministeriums","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein stirbt","ein stirbt","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"aus die","aus die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Entscheidung des","entscheidung des","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Schweiz","schweiz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"die Wahl annimmt","die wahl annimmt","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"auf dienstälteste","auf dienstälteste","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"das weitere","das weitere","COLLOCATION",0,691,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzler Helmut Schmidt","bundeskanzler helmut schmidt","NAMED_ENTITY",0,850,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"allerdings muss","allerdings muss","COLLOCATION",0,674,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"sich haben","sich haben","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Willy Brandts","willy brandts","COLLOCATION",0,947,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zu Annahme","zu annahme","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"die Etablierung des","die etablierung des","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wahlgang","wahlgang","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gewählten ernennt","gewählt ernennt","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Rücktritt Adenauers","rücktritt adenauers","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"auf und","auf und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Vertrauen","vertrauen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ab ist","ab ist","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"unter Spenden","unter spenden","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wahlkampf ein","wahlkampf ein","COLLOCATION",0,706,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zehn Tage","zehn tage","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Guido Knopp","guido knopp","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"durch den","durch den","COLLOCATION",0,510,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Arbeitslosigkeit","arbeitslosigkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"über entscheiden","über entscheiden","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Aus diesem","aus diesem","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesregierung tragenden","bundesregierung tragenden","COLLOCATION",0,860,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"68 des","68 des","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"für ehemalige","für ehemalige","COLLOCATION",0,623,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Politikwissenschaft","politikwissenschaft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesministern und","bundesministern und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach massiven","nach massiven","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein gewisser Vorteil","ein gewiss vorteil","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein Reichsministerpräsident vorsass","ein reichsministerpräsident vorsass","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Herrschers","herrschers","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Koalition","koalition","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Zustimmung treffen","zustimmung treffen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"den Gewählten ernennt","den gewählt ernennt","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit wählten","mit wählten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Atomkraftwerke","atomkraftwerke","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gesetzgebung","gesetzgebung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"und entlassen","und entlassen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Innerhalb","innerhalb","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein den","ein den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"den Bundestag","den bundestag","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein der","ein der","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Vorschlagsrecht","vorschlagsrecht","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"auf bringt","auf bringt","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"US -","us -","COLLOCATION",0,828,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"einen Bundesminister","einen bundesminister","COLLOCATION",0,615,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"einschliesslich 2025","einschliesslich 2025","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"bei den","bei den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Reichskanzler musste","reichskanzler musste","COLLOCATION",0,915,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"bei der","bei der","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"alle Bundeskanzler","alle bundeskanzler","COLLOCATION",0,552,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach mit","nach mit","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"von Bundesministern","von bundesministern","COLLOCATION",0,613,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Sprache","sprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Mit längsten","mit längsten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"bis 2025","bis 2025","COLLOCATION",0,512,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bodo Pieroth","bodo pieroth","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Mehrheit","mehrheit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"zu seinem","zu seinem","COLLOCATION",0,527,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"her ununterbrochenes","her ununterbrochenes","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Stellung","stellung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"spricht man","spricht man","COLLOCATION",0,974,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzler ernennt","bundeskanzler ernennt","COLLOCATION",0,552,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Auswahlrechtes","auswahlrechtes","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein ununterbrochenes","ein ununterbrochenes","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"seinem Tod","seinem tod","COLLOCATION",0,822,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"in Verbindung","in verbindung","COLLOCATION",0,630,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesregierung","bundesregierung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Georg Kiesinger","georg kiesinger","COLLOCATION",0,968,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bei Bewältigung","bei bewältigung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"vom 10","vom 10","COLLOCATION",0,670,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gemeinsamen Ausschuss","gemeinsamen ausschuss","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Zentralgewaltgesetz","zentralgewaltgesetz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"unterstrichen wurde","unterstrich wurde","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Meinung","meinung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"unter Staaten","unter staaten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"26 Tagen","26 tagen","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"die Gesetze","die gesetze","COLLOCATION",0,529,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Rücktritt oder","rücktritt oder","COLLOCATION",0,632,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Dienstwohnung","dienstwohnung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"vom 17","vom 17","COLLOCATION",0,687,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ortszuschlag","ortszuschlag","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"sich entschliessen","sich entschliessen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"als unbegründet","als unbegründet","COLLOCATION",0,736,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"lassen dürfe","lass dürfe","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Oppositionspartei","oppositionspartei","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bei dieser","bei dieser","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Grossen Koalition","grossen koalition","COLLOCATION",0,839,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Hamburg )","hamburg )","COLLOCATION",0,659,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Betreuung oder","betreuung oder","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gültigkeit","gültigkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"zum Wort","zum wort","COLLOCATION",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Grosse Koalition","grosse koalition","COLLOCATION",0,807,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesminister","bundesminister","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"2 BvE","2 bve","COLLOCATION",0,964,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"häufig von","häufig von","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zweite Amtszeit","zweit amtszeit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"durch das","durch das","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"auf mit","auf mit","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ISBN 978-3","isbn 978-3","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nur in","nur in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Schranken","schranken","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"einen neuen","ein neuen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Aussage","aussage","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Protokoll","protokoll","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit einen","mit einen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit einem","mit einem","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"69 Absatz","69 absatz","COLLOCATION",0,948,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Beziehungen zu","beziehungen zu","COLLOCATION",0,693,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ernannt wurde","ernannt wurde","COLLOCATION",0,657,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"war zudem","war zudem","COLLOCATION",0,776,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"der Bemessung der","der bemessung der","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein die","ein die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"↑ Bodo","↑ bodo","COLLOCATION",0,643,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"die von","die von","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Exekutive zu","exekutiv zu","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ausdruck","ausdruck","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"vorgezogene Neuwahlen","vorgezogene neuwahlen","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Vergütung","vergütung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Christian Lindner","christian lindner","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zu stürzen","zu stürzen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"indem nur","indem nur","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gewählte","gewählte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit eines","mit eines","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Helmut Schmidt","helmut schmidt","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein Mitglied","ein mitglied","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"international stark","international stark","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit einstigen","mit einstigen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"bei Amtsantritt","bei amtsantritt","COLLOCATION",0,838,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Nachhinein als","nachhinein als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"faktisch geschäftsführend","faktisch geschäftsführend","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzlervorschlag","bundeskanzlervorschlag","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Fortsetzung","fortsetzung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit ebenfalls","mit ebenfalls","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"die demokratische Phase","die demokratisch phase","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"bei die","bei die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"seinen Nachfolgern","seinen nachfolgern","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"an Geschäftsordnung","an geschäftsordnung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Oktober 2022","oktober 2022","COLLOCATION",0,847,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"die absolute Mehrheit","die absolut mehrheit","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gründung der","gründung der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"scharf kritisierte","scharf kritisierte","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"sich selbst","sich selbst","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"einer Minderheitsregierung","einer minderheitsregierung","COLLOCATION",0,793,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Revolutionszeit","revolutionszeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Regierungsamt","regierungsamt","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ausschüsse","ausschüsse","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundespräsidenten ernannt","bundespräsidenten ernannt","COLLOCATION",0,652,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"unter des","unter des","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Formierung einer","formierung einer","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Unterstützung","unterstützung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Befugnisse des","befugnisse des","COLLOCATION",0,501,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Reptilienfonds","reptilienfonds","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
